SKU,Producto,Categoria,Marca,Precio,Stock,Fecha_Ingreso,Proveedor
SKU-10047,Set de Brochas Cosméticas,Belleza,,2321.76,121.0,26/03/2025,Distribuidora Sur Express
SKU-10048,Auriculares Bluetooth inalámbricos,Electrónica,Xiaomi,23225.45,210.0,28/11/2025,Distribuidora del Norte
SKU-10049,Cafetera de Filtro Eléctrica,Hogar y Cocina,HP,6370.25,,2025-01-28,Distribuidora del Norte
SKU-10050,Tapete de Yoga Antideslizante,Deportes,Oster,9873.36,116.0,01/04/2025,Distribuidora Sur Express
SKU-10051,Juego de Sartenes Antiadherentes,,Lenovo,809.9,142.0,21/06/2025,Distribuidora Comercial Integradora
SKU-10052,  Licuadora de Alta Potencia  ,Hogar y Cocina,Sony,7916.94,133.0,19/03/2025,Distribuidora Global S.A.
SKU-10053,"Televisor Smart TV 55""",Electrónica,Maybelline,11712.25,160.0,20/07/2025,Distribuidora Nacional
SKU-10054,Mochila de Senderismo 40L,Deportes,,3168.46,223.0,17/01/2025,Distribuidora Comercial Integradora
SKU-10055,Tenis Deportivos Running,Ropa y Calzado,Levis,358.46,340.0,2025-06-20,Distribuidora Nacional
SKU-10056,Cojín Decorativo Algodón,HOGAR Y COCINA,Oster,6067.66,167.0,2025-07-23,Distribuidora del Norte
SKU-10057,Chaqueta de Invierno Impermeable,Ropa y Calzado,Under Armour,1707.56,346.0,06/12/2025,Distribuidora Global S.A.
SKU-10058,Mochila de Senderismo 40L,DEPORTES,Lenovo,154.81,146.0,14/04/2025,Distribuidora Comercial Integradora
SKU-10059,Juego de Sábanas Matrimonial,Hogar y Cocina,Zara,4090.01,109.0,16/09/2025,Distribuidora del Norte
SKU-10060,Consola de Videojuegos 1TB,Electrónica,Loreal,17100.57,317.0,03/06/2025,Distribuidora del Norte
SKU-10061,Cafetera de Filtro Eléctrica,Hogar y Cocina,HP,1951.34,,08/01/2025,Distribuidora Comercial Integradora
SKU-10062,Smartphone Android 128GB,ELECTRÓNICA,,22324.22,294.0,23/04/2025,Distribuidora Sur Express
SKU-10063,Mancuernas de Neopreno 5kg,Deportes,Nike,7924.29,2.0,2025-02-25,Distribuidora del Norte
SKU-10064,Secador de Cabello Iónico,Belleza,Samsung,1437.33,62.0,05/08/2025,Distribuidora Comercial Integradora
SKU-10065,Sérum Ácido Hialurónico,Belleza,Philips,2380.05,226.0,27/10/2025,Distribuidora Comercial Integradora
SKU-10066,Mochila de Senderismo 40L,Deportes,Zara,10781.92,243.0,09/08/2025,Distribuidora Global S.A.
SKU-10067,Secador de Cabello Iónico,Belleza,Under Armour,673.43,225.0,2025-02-23,Distribuidora Global S.A.
SKU-10068,Juego de Sartenes Antiadherentes,Hogar y Cocina,Loreal,,77.0,13/04/2025,Distribuidora del Norte
SKU-10069,Smartphone Android 128GB,Electrónica,Levis,9275.71,238.0,2025-07-02,Distribuidora Sur Express
SKU-10070,Mochila de Senderismo 40L,Deportes,Xiaomi,381.45,294.0,2025-07-16,Distribuidora Global S.A.
SKU-10071,Juego de Sábanas Matrimonial,Hogar y Cocina,Lenovo,8045.45,214.0,24/09/2025,Distribuidora Comercial Integradora
SKU-10072,Chaqueta de Invierno Impermeable,Ropa y Calzado,Adidas,673.05,248.0,2025-01-13,Distribuidora Sur Express
SKU-10073,Chaqueta de Invierno Impermeable,Ropa y Calzado,Nike,1770.12,273.0,13/01/2025,Distribuidora Nacional
SKU-10074,"Tablet HD 10""",electrónica,Levis,4688.94,236.0,2025-03-02,Distribuidora Global S.A.
SKU-10075,  Chaqueta de Invierno Impermeable  ,Ropa y Calzado,Philips,773.13,194.0,25/05/2025,Distribuidora Sur Express
SKU-10076,Licuadora de Alta Potencia,Hogar y Cocina,Zara,369.57,276.0,2025-01-12,Distribuidora Nacional
SKU-10077,"Televisor Smart TV 55""",Electrónica,Adidas,6184.98,10.0,2025-10-05,Distribuidora Sur Express
SKU-10078,"Laptop Portátil 15.6""",Electrónica,Adidas,12428.3,131.0,06/06/2025,Distribuidora Nacional
SKU-10079,Tenis Deportivos Running,Ropa y Calzado,Sony,1146.96,159.0,22/10/2025,Distribuidora Sur Express
SKU-10080,Botella de Agua Térmica,deportes,Adidas,1050.56,321.0,04/04/2025,Distribuidora Global S.A.
SKU-10081,Perfume Floral Dama 100ml,Belleza,HP,2461.21,21.0,2025-06-18,Distribuidora Global S.A.
SKU-10082,"Laptop Portátil 15.6""",Electrónica,Under Armour,9518.93,215.0,2025-08-04,Distribuidora Global S.A.
SKU-10083,Botella de Agua Térmica,Deportes,Nike,5310.52,267.0,09/11/2025,Distribuidora Comercial Integradora
SKU-10084,Bicicleta de Montaña R26,Deportes,Levis,9934.95,303.0,11/05/2025,Distribuidora Nacional
SKU-10085,Juego de Sábanas Matrimonial,Hogar y Cocina,Adidas,6803.19,291.0,2025-10-22,Distribuidora Nacional
SKU-10086,Tapete de Yoga Antideslizante,Deportes,Nike,5927.47,181.0,2025-05-11,Distribuidora Comercial Integradora
SKU-10087,Cojín Decorativo Algodón,hogar y cocina,Samsung,4745.32,97.0,08/02/2025,Distribuidora Sur Express
SKU-10088,Crema Hidratante Facial,Belleza,Xiaomi,1242.1,251.0,2025-08-26,Distribuidora Global S.A.
SKU-10089,Chaqueta de Invierno Impermeable,Ropa y Calzado,Xiaomi,627.12,339.0,2025-10-12,Distribuidora Comercial Integradora
SKU-10090,Juego de Sábanas Matrimonial,Hogar y Cocina,Xiaomi,5042.42,180.0,2025-12-15,Distribuidora Global S.A.
SKU-10091,Jeans de Mezclilla Hombre,,Xiaomi,,61.0,18/12/2025,Distribuidora del Norte
SKU-10092,Camisa Casual Manga Larga,Ropa y Calzado,Xiaomi,1000.51,301.0,2025-09-20,Distribuidora Nacional
SKU-10093,Tenis Deportivos Running,Ropa y Calzado,Adidas,809.37,154.0,23/01/2025,Distribuidora Global S.A.
SKU-10094,"Televisor Smart TV 55""",Electrónica,Loreal,8365.21,64.0,28/11/2025,Distribuidora Nacional
SKU-10095,"Laptop Portátil 15.6""",Electrónica,,12530.83,225.0,06/06/2025,Distribuidora Global S.A.
SKU-10096,Balón de Fútbol Profesional,Deportes,Lenovo,924.32,251.0,19/02/2025,Distribuidora Nacional
SKU-10097,Camisa Casual Manga Larga,Ropa y Calzado,HP,1122.4,155.0,2025-02-08,Distribuidora Sur Express
SKU-10098,Sérum Ácido Hialurónico,,HP,1583.82,267.0,15/07/2025,Distribuidora Global S.A.
SKU-10099,Secador de Cabello Iónico,Belleza,Oster,1464.28,30.0,2025-10-24,Distribuidora del Norte
SKU-10100,Tenis Deportivos Running,Ropa y Calzado,,375.84,122.0,2025-03-18,Distribuidora Nacional
SKU-10101,Bicicleta de Montaña R26,Deportes,Xiaomi,7186.66,149.0,2025-01-08,Distribuidora Global S.A.
SKU-10102,Balón de Fútbol Profesional,Deportes,Under Armour,2916.07,,19/11/2025,Distribuidora del Norte
SKU-10103,Balón de Fútbol Profesional,Deportes,Loreal,2813.99,76.0,2025-05-27,Distribuidora Nacional
SKU-10104,Tenis Deportivos Running,Ropa y Calzado,Maybelline,1410.88,291.0,2025-05-15,Distribuidora Global S.A.
SKU-10105,Tapete de Yoga Antideslizante,Deportes,Loreal,6548.78,224.0,2025-02-20,Distribuidora Sur Express
SKU-10106,Cojín Decorativo Algodón,Hogar y Cocina,Oster,426.61,117.0,27/11/2025,Distribuidora Comercial Integradora
SKU-10107,"Tablet HD 10""",Electrónica,Lenovo,7833.51,20.0,16/03/2025,Distribuidora Sur Express
SKU-10108,Cafetera de Filtro Eléctrica,Hogar y Cocina,Maybelline,4034.79,251.0,2025-02-16,Distribuidora Global S.A.
SKU-10109,Aspiradora Robot Inteligente,Hogar y Cocina,Sony,7747.05,168.0,2025-07-23,Distribuidora Sur Express
SKU-10110,Perfume Floral Dama 100ml,Belleza,Zara,310.43,129.0,04/06/2025,Distribuidora Sur Express
SKU-10111,Perfume Floral Dama 100ml,,Under Armour,2186.35,236.0,2025-07-02,Distribuidora Global S.A.
SKU-10112,Secador de Cabello Iónico,Belleza,Under Armour,1160.34,26.0,09/04/2025,Distribuidora Global S.A.
SKU-10113,Botella de Agua Térmica,deportes,Zara,1588.9,322.0,2025-10-26,Distribuidora del Norte
SKU-10114,Cojín Decorativo Algodón,,Samsung,5058.81,47.0,27/04/2025,Distribuidora Sur Express
SKU-10115,"Tablet HD 10""",Electrónica,Lenovo,5118.32,149.0,2025-09-23,Distribuidora Sur Express
SKU-10116,Mancuernas de Neopreno 5kg,Deportes,Zara,6682.49,196.0,20/04/2025,Distribuidora del Norte
SKU-10117,Consola de Videojuegos 1TB,Electrónica,HP,20065.15,212.0,26/06/2025,Distribuidora Nacional
SKU-10118,Aspiradora Robot Inteligente,Hogar y Cocina,Oster,7568.79,296.0,16/11/2025,Distribuidora Sur Express
SKU-10119,Secador de Cabello Iónico,Belleza,Philips,897.19,278.0,15/07/2025,Distribuidora del Norte
SKU-10120,Vestido Casual de Verano,ROPA Y CALZADO,Levis,612.02,210.0,11/01/2025,Distribuidora Sur Express
SKU-10121,Botella de Agua Térmica,Deportes,HP,9875.86,77.0,2025-08-02,Distribuidora Comercial Integradora
SKU-10122,Licuadora de Alta Potencia,Hogar y Cocina,Lenovo,7635.35,51.0,2025-09-15,Distribuidora del Norte
SKU-10123,Botella de Agua Térmica,Deportes,Nike,1036.71,135.0,20/06/2025,Distribuidora Nacional
SKU-10124,  Aspiradora Robot Inteligente  ,Hogar y Cocina,,4894.88,162.0,23/11/2025,Distribuidora Sur Express
SKU-10125,Perfume Floral Dama 100ml,Belleza,Maybelline,263.28,323.0,10/11/2025,Distribuidora Nacional
SKU-10126,Balón de Fútbol Profesional,Deportes,,7659.91,51.0,06/08/2025,Distribuidora Nacional
SKU-10127,Consola de Videojuegos 1TB,Electrónica,HP,2818.8,183.0,2025-06-14,Distribuidora Comercial Integradora
SKU-10128,Mochila de Senderismo 40L,Deportes,Under Armour,9541.36,87.0,03/03/2025,Distribuidora Sur Express
SKU-10129,Set de Brochas Cosméticas,Belleza,Adidas,1293.9,298.0,2025-03-08,Distribuidora Global S.A.
SKU-10130,Tapete de Yoga Antideslizante,Deportes,,261.36,238.0,22/05/2025,Distribuidora Nacional
SKU-10131,Tapete de Yoga Antideslizante,Deportes,Maybelline,3694.98,217.0,2025-12-09,Distribuidora Global S.A.
SKU-10132,Chaqueta de Invierno Impermeable,Ropa y Calzado,Lenovo,998.97,121.0,,Distribuidora Global S.A.
SKU-10133,Licuadora de Alta Potencia,Hogar y Cocina,Lenovo,5991.42,140.0,19/01/2025,Distribuidora Nacional
SKU-10134,Set de Brochas Cosméticas,Belleza,Zara,2098.65,146.0,20/04/2025,Distribuidora del Norte
SKU-10135,Vestido Casual de Verano,Ropa y Calzado,Oster,1300.53,337.0,2025-11-27,Distribuidora Nacional
SKU-10136,Consola de Videojuegos 1TB,Electrónica,HP,11859.34,296.0,2025-06-24,Distribuidora Global S.A.
SKU-10137,Aspiradora Robot Inteligente,Hogar y Cocina,Levis,1744.63,67.0,12/09/2025,Distribuidora Global S.A.
SKU-10138,Tenis Deportivos Running,Ropa y Calzado,Lenovo,1713.49,151.0,2025-12-28,Distribuidora Nacional
SKU-10139,Balón de Fútbol Profesional,Deportes,Nike,9086.7,115.0,,Distribuidora Sur Express
SKU-10140,  Kit de Maquillaje Profesional  ,Belleza,Sony,,,2025-05-18,Distribuidora Global S.A.
SKU-10141,Cojín Decorativo Algodón,Hogar y Cocina,Levis,7436.27,,2025-02-22,Distribuidora Nacional
SKU-10142,Sérum Ácido Hialurónico,Belleza,Philips,2296.53,113.0,03/11/2025,Distribuidora Sur Express
SKU-10143,Aspiradora Robot Inteligente,Hogar y Cocina,Levis,1225.75,23.0,10/01/2025,Distribuidora Nacional
SKU-10144,Auriculares Bluetooth inalámbricos,Electrónica,Loreal,4688.11,232.0,22/06/2025,Distribuidora Comercial Integradora
SKU-10145,Mochila de Senderismo 40L,Deportes,Xiaomi,8760.2,212.0,04/11/2025,Distribuidora Comercial Integradora
SKU-10146,Tapete de Yoga Antideslizante,Deportes,,8329.83,111.0,15/08/2025,Distribuidora Global S.A.
SKU-10147,"Tablet HD 10""",ELECTRÓNICA,Philips,14294.95,330.0,2025-06-02,Distribuidora del Norte
SKU-10148,Smartphone Android 128GB,electrónica,,17075.07,328.0,20/11/2025,Distribuidora Nacional
SKU-10149,Cafetera de Filtro Eléctrica,Hogar y Cocina,Nike,7124.41,105.0,27/02/2025,Distribuidora del Norte
SKU-10150,Crema Hidratante Facial,Belleza,Lenovo,2187.14,168.0,26/03/2025,Distribuidora Nacional
SKU-10151,Cafetera de Filtro Eléctrica,Hogar y Cocina,Nike,4952.9,89.0,22/02/2025,Distribuidora del Norte
SKU-10152,Consola de Videojuegos 1TB,Electrónica,HP,,301.0,2025-06-01,Distribuidora Nacional
SKU-10153,  Sudadera con Capucha  ,Ropa y Calzado,,1065.43,32.0,15/08/2025,Distribuidora Comercial Integradora
SKU-10154,Perfume Floral Dama 100ml,Belleza,Zara,1308.72,314.0,24/01/2025,Distribuidora Comercial Integradora
SKU-10155,Juego de Sábanas Matrimonial,Hogar y Cocina,Under Armour,8682.43,31.0,2025-08-28,Distribuidora Nacional
SKU-10156,Botella de Agua Térmica,Deportes,Zara,1020.86,41.0,2025-06-20,Distribuidora del Norte
SKU-10157,Cojín Decorativo Algodón,hogar y cocina,Under Armour,5350.21,166.0,20/07/2025,Distribuidora Sur Express
SKU-10158,Sérum Ácido Hialurónico,belleza,Levis,,58.0,21/11/2025,Distribuidora Comercial Integradora
SKU-10159,Chaqueta de Invierno Impermeable,Ropa y Calzado,Zara,,,2025-06-27,Distribuidora Sur Express
SKU-10160,Consola de Videojuegos 1TB,Electrónica,Levis,8844.3,130.0,05/06/2025,Distribuidora Sur Express
SKU-10161,"Televisor Smart TV 55""",Electrónica,Lenovo,3506.06,,,Distribuidora del Norte
SKU-10162,Perfume Floral Dama 100ml,Belleza,Maybelline,2395.86,287.0,2025-06-22,Distribuidora Global S.A.
SKU-10163,Botella de Agua Térmica,Deportes,Samsung,11625.52,307.0,2025-05-12,Distribuidora Comercial Integradora
SKU-10164,Camisa Casual Manga Larga,Ropa y Calzado,Under Armour,997.39,55.0,28/06/2025,Distribuidora Nacional
SKU-10165,Cojín Decorativo Algodón,Hogar y Cocina,Adidas,7302.55,287.0,20/10/2025,Distribuidora Comercial Integradora
SKU-10166,"Laptop Portátil 15.6""",Electrónica,Under Armour,20992.33,136.0,2025-01-06,Distribuidora Global S.A.
SKU-10167,Juego de Sartenes Antiadherentes,Hogar y Cocina,Samsung,1795.37,73.0,2025-10-22,Distribuidora del Norte
SKU-10168,"Televisor Smart TV 55""",Electrónica,Xiaomi,13966.34,192.0,2025-07-15,Distribuidora Global S.A.
SKU-10169,Aspiradora Robot Inteligente,Hogar y Cocina,Philips,7035.15,290.0,03/10/2025,Distribuidora del Norte
SKU-10170,Vestido Casual de Verano,Ropa y Calzado,Samsung,1294.65,139.0,2025-08-22,Distribuidora Comercial Integradora
SKU-10171,Bicicleta de Montaña R26,Deportes,Oster,2704.49,262.0,,Distribuidora Global S.A.
SKU-10172,Secador de Cabello Iónico,Belleza,Loreal,1700.79,23.0,13/04/2025,Distribuidora Nacional
SKU-10173,  Auriculares Bluetooth inalámbricos  ,Electrónica,Oster,23715.12,70.0,2025-05-10,Distribuidora Nacional
SKU-10174,Botella de Agua Térmica,Deportes,Levis,2231.98,,2025-09-23,Distribuidora Comercial Integradora
SKU-10175,Licuadora de Alta Potencia,Hogar y Cocina,,7782.53,21.0,2025-07-01,Distribuidora Nacional
SKU-10176,Cojín Decorativo Algodón,Hogar y Cocina,Levis,5244.92,327.0,2025-07-10,Distribuidora Nacional
SKU-10177,Cafetera de Filtro Eléctrica,Hogar y Cocina,HP,8538.01,235.0,2025-12-12,Distribuidora Nacional
SKU-10178,Chaqueta de Invierno Impermeable,Ropa y Calzado,Maybelline,870.7,40.0,2025-07-28,Distribuidora Global S.A.
SKU-10179,Tenis Deportivos Running,Ropa y Calzado,HP,510.61,261.0,04/11/2025,Distribuidora del Norte
SKU-10180,Juego de Sartenes Antiadherentes,Hogar y Cocina,,8631.37,330.0,2025-03-08,Distribuidora Global S.A.
SKU-10181,Camisa Casual Manga Larga,Ropa y Calzado,Maybelline,486.95,335.0,06/02/2025,Distribuidora Sur Express
SKU-10182,Mochila de Senderismo 40L,Deportes,HP,,348.0,21/10/2025,Distribuidora Comercial Integradora
SKU-10183,Aspiradora Robot Inteligente,Hogar y Cocina,Philips,1527.43,34.0,15/08/2025,Distribuidora Global S.A.
SKU-10184,Perfume Floral Dama 100ml,Belleza,Philips,1317.12,158.0,2025-08-15,Distribuidora Global S.A.
SKU-10185,Licuadora de Alta Potencia,Hogar y Cocina,Under Armour,7804.4,46.0,20/10/2025,Distribuidora Sur Express
SKU-10186,Sérum Ácido Hialurónico,Belleza,HP,1873.15,21.0,26/08/2025,Distribuidora del Norte
SKU-10187,Cojín Decorativo Algodón,Hogar y Cocina,Zara,4611.03,31.0,04/08/2025,Distribuidora Global S.A.
SKU-10188,"Laptop Portátil 15.6""",Electrónica,Under Armour,5555.13,126.0,15/12/2025,Distribuidora Comercial Integradora
SKU-10189,Sérum Ácido Hialurónico,Belleza,Nike,972.72,144.0,14/07/2025,Distribuidora Comercial Integradora
SKU-10190,"  Tablet HD 10""  ",,Under Armour,9364.26,168.0,18/02/2025,Distribuidora Global S.A.
SKU-10191,Aspiradora Robot Inteligente,Hogar y Cocina,Lenovo,5976.76,308.0,2025-03-11,Distribuidora del Norte
SKU-10192,Juego de Sartenes Antiadherentes,Hogar y Cocina,Under Armour,6345.62,200.0,20/03/2025,Distribuidora Nacional
SKU-10193,Cojín Decorativo Algodón,Hogar y Cocina,Levis,5861.74,168.0,22/03/2025,Distribuidora Comercial Integradora
SKU-10194,"Tablet HD 10""",Electrónica,Under Armour,11450.05,185.0,2025-01-12,Distribuidora del Norte
SKU-10195,Juego de Sábanas Matrimonial,Hogar y Cocina,Adidas,2192.58,70.0,2025-03-03,Distribuidora Nacional
SKU-10196,Sérum Ácido Hialurónico,belleza,Lenovo,1872.48,269.0,2025-01-22,Distribuidora Comercial Integradora
SKU-10197,Vestido Casual de Verano,Ropa y Calzado,Levis,489.09,92.0,25/12/2025,Distribuidora del Norte
SKU-10198,Balón de Fútbol Profesional,Deportes,Levis,4466.95,121.0,2025-08-20,Distribuidora Sur Express
SKU-10199,Vestido Casual de Verano,Ropa y Calzado,Adidas,,240.0,12/04/2025,Distribuidora Comercial Integradora
SKU-10200,Bicicleta de Montaña R26,Deportes,HP,3489.0,195.0,2025-09-17,Distribuidora del Norte
SKU-10201,Vestido Casual de Verano,,Nike,1603.15,26.0,16/11/2025,Distribuidora Comercial Integradora
SKU-10202,"Tablet HD 10""",Electrónica,Lenovo,13623.87,63.0,03/05/2025,Distribuidora Global S.A.
SKU-10203,Mochila de Senderismo 40L,Deportes,Nike,9997.9,46.0,2025-04-27,Distribuidora Global S.A.
SKU-10204,Smartphone Android 128GB,Electrónica,Samsung,10816.67,191.0,13/04/2025,Distribuidora Global S.A.
SKU-10205,Jeans de Mezclilla Hombre,Ropa y Calzado,Philips,1692.78,332.0,2025-06-26,Distribuidora Nacional
SKU-10206,Juego de Sábanas Matrimonial,Hogar y Cocina,Xiaomi,7512.77,240.0,,Distribuidora Nacional
SKU-10207,Consola de Videojuegos 1TB,Electrónica,Adidas,,280.0,20/12/2025,Distribuidora Nacional
SKU-10208,Cafetera de Filtro Eléctrica,Hogar y Cocina,Oster,1271.27,122.0,21/07/2025,Distribuidora Sur Express
SKU-10209,"Televisor Smart TV 55""",Electrónica,Lenovo,22770.95,305.0,01/09/2025,Distribuidora Comercial Integradora
SKU-10210,Sudadera con Capucha,,Nike,701.47,0.0,,Distribuidora Sur Express
SKU-10211,  Sudadera con Capucha  ,Ropa y Calzado,Under Armour,382.7,184.0,17/02/2025,Distribuidora Comercial Integradora
SKU-10212,Perfume Floral Dama 100ml,,,2195.87,22.0,13/11/2025,Distribuidora Global S.A.
SKU-10213,Consola de Videojuegos 1TB,Electrónica,HP,3087.65,123.0,22/12/2025,Distribuidora Comercial Integradora
SKU-10214,Cafetera de Filtro Eléctrica,Hogar y Cocina,Samsung,3299.23,173.0,06/11/2025,Distribuidora Sur Express
SKU-10215,Botella de Agua Térmica,Deportes,Nike,9766.25,32.0,25/12/2025,Distribuidora Nacional
SKU-10216,Cafetera de Filtro Eléctrica,Hogar y Cocina,Samsung,7160.76,21.0,10/06/2025,Distribuidora Comercial Integradora
SKU-10217,Tapete de Yoga Antideslizante,Deportes,Samsung,9076.5,97.0,,Distribuidora Nacional
SKU-10218,Juego de Sartenes Antiadherentes,Hogar y Cocina,Sony,7233.21,223.0,2025-07-24,Distribuidora Sur Express
SKU-10219,Cafetera de Filtro Eléctrica,Hogar y Cocina,,6289.2,188.0,09/09/2025,Distribuidora Sur Express
SKU-10220,Smartphone Android 128GB,Electrónica,Maybelline,24884.81,92.0,,Distribuidora Nacional
SKU-10221,Aspiradora Robot Inteligente,Hogar y Cocina,Oster,,308.0,2025-12-14,Distribuidora Sur Express
SKU-10222,Juego de Sábanas Matrimonial,Hogar y Cocina,Samsung,6594.97,180.0,2025-10-14,Distribuidora Nacional
SKU-10223,"  Tablet HD 10""  ",,Under Armour,11045.94,262.0,2025-12-22,Distribuidora Nacional
SKU-10224,Vestido Casual de Verano,Ropa y Calzado,Under Armour,1461.03,17.0,2025-03-03,Distribuidora Global S.A.
SKU-10225,Juego de Sábanas Matrimonial,HOGAR Y COCINA,Maybelline,483.99,78.0,15/11/2025,Distribuidora Global S.A.
SKU-10226,Balón de Fútbol Profesional,deportes,Maybelline,1781.69,187.0,11/07/2025,Distribuidora del Norte
SKU-10227,"Televisor Smart TV 55""",Electrónica,Xiaomi,5872.13,265.0,2025-07-18,Distribuidora Global S.A.
SKU-10228,Mancuernas de Neopreno 5kg,Deportes,Maybelline,3534.09,251.0,2025-04-04,Distribuidora Nacional
